State,Population,Stadium,Abbreviation
Alabama,4779736,5,AL
Alaska,710231,5,AK
Arizona,6392017,4,AZ
Arkansas,2915918,5,AR
California,37253956,4,CA
Colorado,5029196,2,CO
Connecticut,3574097,2,CT
Delaware,897934,5,DE
Florida,18801310,5,FL
Georgia,9687653,5,GA
Hawaii,1360301,1,HI
Idaho,1567582,2,ID
Illinois,12830632,5,IL
Indiana,6483802,5,IN
Iowa,3046355,1,IA
Kansas,2853118,3,KS
Kentucky,4339367,3,KY
Louisiana,4533372,10,LA
Maine,1328361,1,ME
Maryland,5773552,6,MD
Massachusetts,6547629,2,MA
Michigan,9883640,5,MI
Minnesota,5303925,1,MN
Mississippi,2967297,8,MS
Missouri,5988927,6,MO
Montana,989415,3,MT
Nebraska,1826341,2,NE
Nevada,2700551,6,NV
New Hampshire,1316470,0,NH
New Jersey,8791894,3,NJ
New Mexico,2059179,4,NM
New York,19378102,3,NY
North Carolina,9535483,5,NC
North Dakota,672591,3,ND
Ohio,11536504,4,OH
Oklahoma,3751351,4,OK
Oregon,3831074,2,OR
Pennsylvania,12702379,4,PA
Rhode Island,1052567,2,RI
South Carolina,4625364,6,SC
South Dakota,814180,2,SD
Tennessee,6346105,5,TN
Texas,25145561,4,TX
Utah,2763885,2,UT
Vermont,625741,1,VT
Virginia,8001024,4,VA
Washington,6724540,2,WA
West Virginia,1852994,4,WV
Wisconsin,5686986,2,WI
Wyoming,563626,2,WY
